小菜松 順聡 こなまつ じゅんそう 1983/2/27 新潟県 村上市 久保多町 37丁目8932-7904  石川県 七尾市 中島町大平 91丁目523-4580 千葉県立君津商業高等学校 東日本国際大学 ゴム工業エイチ関西株式会社 法務課 リーダー
根素 寿宜 ねもと ひさのり 1987/2/14 千葉県 袖ケ浦市 三黒 78丁目9401-7981  鳥取県 鳥取市 気高町下坂本 70丁目2807-8603 国学館高等学校 九州東海大学 株式会社インキ丸紅マキタ 業務部 課長
岡島 恵美子 おかじま えみこ 1966/3/23 岩手県 盛岡市 下鹿妻 49丁目1644-6681 政上様方 大阪府 堺市南区 新檜尾台 92丁目1920-2002 大西学園高等学校 高崎健康福祉大学 株式会社エル製造クルーズ 人事課 CEO
湯淺 希望 ゆあさ のぞみ 1978/2/12 京都府 京丹後市 丹後町井上 67丁目8349-1492  宮城県 登米市 米山町西野 58丁目5638-7130 法政大学第二高等学校 千歳科学技術大学 大機グループヤマト有限会社 総務部 主幹
山涌 立治 やまわく たつじ 1970/2/8 千葉県 館山市 上真倉 86丁目235-1398  岐阜県 本巣市 木知原 99丁目8635-2984 岩手県立金ケ崎高等学校 宮崎大学 大丸システムズ内外株式会社 企画課 ディレクター
大川井 有夫 おおかわい ありお 1954/8/11 愛媛県 松山市 河野別府 38丁目4847-5262 オベル 徳島県 徳島市 国府町東黒田 57丁目4905-211 青森県立板柳高等学校 北九州大学 エスエス青木ディ株式会社 介護福祉課 キャプテン
才村 史華 さいむら ふみか 1987/4/11 青森県 下北郡東通村 尻労 23丁目5131-466  香川県 小豆郡小豆島町 田浦 81丁目1076-193 北海道滝上高等学校 山梨大学 大機テトラエー株式会社 澱粉グループ 相談役
腰丸 大造 こしまる たいぞう 1981/9/10 宮城県 登米市 南方町横代 70丁目7959-9533  愛知県 北設楽郡設楽町 三都橋 60丁目3206-7865 北海道札幌南陵高等学校 帝国女子大学 セブンティサン有限会社 ごみゼロ推進課 テクニカル・チーフ
枝谷 長郎 えだたに たけお 1984/4/17 群馬県 前橋市 嶺町 81丁目6584-4041  沖縄県 中頭郡北中城村 大城 57丁目7067-9176 北海道札幌西陵高等学校 聖学院大学 株式会社協和高島宇部 安全管理部 取締役会長
江美 有義 えみ ありよし 1950/7/28 千葉県 山武郡横芝光町 木戸台 25丁目9492-854  愛知県 西尾市 吉良町大島 92丁目3396-1213 昭和第一高等学校 日本薬科大学 株式会社ハルテックバルブホームズ 研究・開発部 顧問
若砂 彰人 わかさ あきひと 1976/11/28 青森県 三戸郡五戸町 下新道 69丁目2169-895  富山県 富山市 下栗山 73丁目9833-6589 千葉県立土気高等学校 埼玉医科大学 ユアサ九州グループ組合 研究開発室 営業部長
