Worker.create( name: '谷川光正', division_id: 3 )
Worker.create( name: '村山音々', division_id: 4 )
Worker.create( name: '佐伯林檎', division_id: 5 )
Worker.create( name: '大竹美貴', division_id: 1 )
Worker.create( name: '平良朱里', division_id: 2 )
Worker.create( name: '渥美健吉', division_id: 3 )
Worker.create( name: '新倉満', division_id: 4 )
Worker.create( name: '松本真理子', division_id: 5 )
Worker.create( name: '湯川恒敏', division_id: 1 )
Worker.create( name: '田辺澄子', division_id: 2 )
Worker.create( name: '新垣香里', division_id: 3 )
Worker.create( name: '辻本恵美', division_id: 4 )
Worker.create( name: '高津一花', division_id: 5 )
Worker.create( name: '名取和弥', division_id: 1 )
Worker.create( name: '毛利豊子', division_id: 2 )
Worker.create( name: '矢野茉奈', division_id: 3 )
Worker.create( name: '高村一葉', division_id: 4 )
Worker.create( name: '角千代乃', division_id: 5 )
Worker.create( name: '滋賀浩二', division_id: 1 )
Worker.create( name: '三原清一郎', division_id: 2 )
Worker.create( name: '手島与三郎', division_id: 3 )
Worker.create( name: '小山柚衣', division_id: 4 )
Worker.create( name: '井田華蓮', division_id: 5 )
Worker.create( name: '正木唯', division_id: 1 )
Worker.create( name: '三井幸太郎', division_id: 2 )
Worker.create( name: '坂上宗雄', division_id: 3 )
Worker.create( name: '佐竹良雄', division_id: 4 )
Worker.create( name: '越智沙彩', division_id: 5 )
Worker.create( name: '佐竹恵利', division_id: 1 )
Worker.create( name: '宮下和之', division_id: 2 )
Worker.create( name: '長友碧依', division_id: 3 )
Worker.create( name: '藤村英俊', division_id: 4 )
Worker.create( name: '坪井晴雄', division_id: 5 )
Worker.create( name: '藤木咲子', division_id: 1 )
Worker.create( name: '米倉武男', division_id: 2 )
Worker.create( name: '柴田亜由美', division_id: 3 )
Worker.create( name: '坂野邦夫', division_id: 4 )
Worker.create( name: '仲村留吉', division_id: 5 )
Worker.create( name: '森田理', division_id: 1 )
Worker.create( name: '児玉莉子', division_id: 2 )
Worker.create( name: '関本花帆', division_id: 3 )
Worker.create( name: '岩永良子', division_id: 4 )
Worker.create( name: '高坂真理子', division_id: 5 )
Worker.create( name: '野村啓二', division_id: 1 )
Worker.create( name: '平松幸治', division_id: 2 )
Worker.create( name: '北田敏幸', division_id: 3 )
Worker.create( name: '山岸義美', division_id: 4 )
Worker.create( name: '坂上治', division_id: 5 )
Worker.create( name: '志賀棟上', division_id: 1 )
Worker.create( name: '塩谷信行', division_id: 2 )
Worker.create( name: '松沢信長', division_id: 3 )
Worker.create( name: '五味真樹', division_id: 4 )
Worker.create( name: '山岸良彦', division_id: 5 )
Worker.create( name: '荒井柚衣', division_id: 1 )
Worker.create( name: '中尾理子', division_id: 2 )
Worker.create( name: '森井双葉', division_id: 3 )
Worker.create( name: '清野久子', division_id: 4 )
Worker.create( name: '岩永翔子', division_id: 5 )
Worker.create( name: '田口昌己', division_id: 1 )
Worker.create( name: '戸田優奈', division_id: 2 )
Worker.create( name: '首藤瑞穂', division_id: 3 )
Worker.create( name: '富田隆吾', division_id: 4 )
Worker.create( name: '川嶋悠', division_id: 5 )
Worker.create( name: '金谷亮太', division_id: 1 )
Worker.create( name: '藤崎文音', division_id: 2 )
Worker.create( name: '浜野幸二', division_id: 3 )
Worker.create( name: '中島政次', division_id: 4 )
Worker.create( name: '渋谷洋二', division_id: 5 )
Worker.create( name: '増田綾花', division_id: 1 )
Worker.create( name: '安部和雄', division_id: 2 )
Worker.create( name: '武田利雄', division_id: 3 )
Worker.create( name: '花岡淑子', division_id: 4 )
Worker.create( name: '吉沢秀吉', division_id: 5 )
Worker.create( name: '足立五月', division_id: 1 )
Worker.create( name: '我妻忠男', division_id: 2 )
Worker.create( name: '鳥居顕子', division_id: 3 )
Worker.create( name: '高柳健吉', division_id: 4 )
Worker.create( name: '矢口孝宏', division_id: 5 )
Worker.create( name: '手島弘', division_id: 1 )
Worker.create( name: '渋谷美名子', division_id: 2 )
Worker.create( name: '日下部雅博', division_id: 3 )
Worker.create( name: '大山清次', division_id: 4 )
Worker.create( name: '宮島久男', division_id: 5 )
Worker.create( name: '田代紀子', division_id: 1 )
Worker.create( name: '中嶋優子', division_id: 2 )
Worker.create( name: '寺尾正敏', division_id: 3 )
Worker.create( name: '本橋紀之', division_id: 4 )
Worker.create( name: '長井利治', division_id: 5 )
Worker.create( name: '菅沼陽華', division_id: 1 )
Worker.create( name: '小山田聡子', division_id: 2 )
Worker.create( name: '長嶋歩', division_id: 3 )
Worker.create( name: '川口勇', division_id: 4 )
Worker.create( name: '菅野沙也佳', division_id: 5 )
Worker.create( name: '富山英世', division_id: 1 )
Worker.create( name: '広田浩司', division_id: 2 )
Worker.create( name: '安井敦', division_id: 3 )
Worker.create( name: '安部利恵', division_id: 4 )
Worker.create( name: '本村結芽', division_id: 5 )
Worker.create( name: '飛田繁雄', division_id: 1 )
Worker.create( name: '安斎優華', division_id: 2 )
